city_id,city_name,country,latitude,longitude,weather_date,temp,humidity,cloudiness,wind_speed
2269142,Colares,PT,38.8,-9.45,10/05/20,            65.07,82,40,6.93
4020109,Atuona,PF,-9.8,-139.03,10/05/20,            77.61,79,2,18.39
2013639,Verkhnevilyuysk,RU,63.45,120.32,10/05/20,            41.77,86,100,8.93
4011743,Constitucion,MX,23.99,-104.67,10/05/20,            71.83,27,5,8.39
6255012,Flinders,AU,-34.58,150.86,10/05/20,            59.32,80,100,1.01
1568770,Quang Ngai,VN,15.12,108.8,10/05/20,            76.19,88,100,6.69
5924351,Clyde River,CA,70.47,-68.59,10/05/20,            26.6,100,40,2.24
4192800,Eatonton,US,33.33,-83.39,10/05/20,            77.18,50,1,4.76
2188874,Russell,NZ,-35.26,174.12,10/05/20,            54,95,100,4
2772480,Sankt Georgen,AT,47.52,14.37,10/05/20,            48.38,81,100,5.82
